epoch,step,test_loss,test_r2,train_loss,train_r2,val_loss,val_r2
0,5,,,,,0.6276826858520508,-0.6086064577102661
0,5,,,0.6765122413635254,-0.5769457817077637,,
1,11,,,,,0.49718961119651794,-0.27418267726898193
1,11,,,0.4868259131908417,-0.13478803634643555,,
2,17,,,,,0.411897748708725,-0.055599331855773926
2,17,,,0.3906482756137848,0.08940130472183228,,
3,23,,,,,0.3510611355304718,0.10031098127365112
3,23,,,0.32595306634902954,0.24020534753799438,,
4,29,,,,,0.3031426668167114,0.22311502695083618
4,29,,,0.277471661567688,0.3532153367996216,,
5,35,,,,,0.2653966546058655,0.3198493719100952
5,35,,,0.23985476791858673,0.4409000277519226,,
6,41,,,,,0.234823077917099,0.39820241928100586
6,41,,,0.21014538407325745,0.5101524591445923,,
7,47,,,,,0.20931251347064972,0.4635801315307617
7,47,,,0.18602240085601807,0.5663830041885376,,
8,53,,,,,0.18838918209075928,0.5172017812728882
8,53,,,0.16590259969234467,0.6132820844650269,,
9,59,,,,,0.16993822157382965,0.5644873976707458
9,59,,,0.1497623771429062,0.6509048342704773,,
10,65,,,,,0.15580515563488007,0.6007071733474731
10,65,,,0.13582369685173035,0.6833958029747009,,
11,71,,,,,0.14300958812236786,0.633499264717102
11,71,,,0.12484849989414215,0.7089788913726807,,
12,77,,,,,0.13314513862133026,0.6587796211242676
12,77,,,0.11566773802042007,0.7303792238235474,,
13,83,,,,,0.1247003823518753,0.6804215908050537
13,83,,,0.10787532478570938,0.7485433220863342,,
14,89,,,,,0.11698628962039948,0.7001910209655762
14,89,,,0.10192003101110458,0.7624250650405884,,
15,95,,,,,0.1103917732834816,0.7170912623405457
15,95,,,0.09635801613330841,0.775390088558197,,
16,101,,,,,0.10496579110622406,0.7309967875480652
16,101,,,0.09182653576135635,0.7859529256820679,,
17,107,,,,,0.10011063516139984,0.7434394359588623
17,107,,,0.08814418315887451,0.7945364713668823,,
18,113,,,,,0.09645668417215347,0.7528036832809448
18,113,,,0.08504100888967514,0.8017699718475342,,
19,119,,,,,0.0927041545510292,0.7624205350875854
19,119,,,0.08278919011354446,0.8070189356803894,,
20,125,,,,,0.09002768248319626,0.7692797183990479
20,125,,,0.0805492177605629,0.8122402429580688,,
21,131,,,,,0.08787661045789719,0.7747924327850342
21,131,,,0.07915191352367401,0.8154973983764648,,
22,137,,,,,0.08597057312726974,0.7796772122383118
22,137,,,0.07794569432735443,0.8183090686798096,,
23,143,,,,,0.08440614491701126,0.7836864590644836
23,143,,,0.07682646811008453,0.8209179639816284,,
24,149,,,,,0.08295004814863205,0.7874181270599365
24,149,,,0.07593134045600891,0.8230045437812805,,
25,155,,,,,0.08186104893684387,0.7902089357376099
25,155,,,0.07540257275104523,0.8242371082305908,,
26,161,,,,,0.08095695823431015,0.7925259470939636
26,161,,,0.07496035844087601,0.8252678513526917,,
27,167,,,,,0.08003493398427963,0.7948888540267944
27,167,,,0.07466612756252289,0.8259537220001221,,
28,173,,,,,0.07935982197523117,0.7966190576553345
28,173,,,0.07422269135713577,0.8269873857498169,,
29,179,,,,,0.07869070023298264,0.7983338236808777
29,179,,,0.07384133338928223,0.8278763294219971,,
30,185,,,,,0.07839880138635635,0.7990819215774536
30,185,,,0.07377032935619354,0.8280417919158936,,
31,191,,,,,0.07795138657093048,0.8002285361289978
31,191,,,0.0736946314573288,0.8282182812690735,,
32,197,,,,,0.07766104489564896,0.800972580909729
32,197,,,0.07368669658899307,0.8282367587089539,,
33,203,,,,,0.07741349935531616,0.8016070127487183
33,203,,,0.07355821132659912,0.8285362720489502,,
34,209,,,,,0.07714640349149704,0.8022915124893188
34,209,,,0.07351735234260559,0.8286315202713013,,
35,215,,,,,0.0770135298371315,0.8026320338249207
35,215,,,0.07335735857486725,0.8290044665336609,,
36,221,,,,,0.07674805074930191,0.8033124208450317
36,221,,,0.07349754869937897,0.8286776542663574,,
37,227,,,,,0.07639717310667038,0.8042116165161133
37,227,,,0.07338567078113556,0.8289384841918945,,
38,233,,,,,0.07640287280082703,0.8041970133781433
38,233,,,0.07334601879119873,0.8290308713912964,,
39,239,,,,,0.0762980729341507,0.8044655919075012
39,239,,,0.07341880351305008,0.8288612365722656,,
40,245,,,,,0.07625845819711685,0.8045670986175537
40,245,,,0.0733121782541275,0.829109787940979,,
41,251,,,,,0.0761764794588089,0.804777204990387
41,251,,,0.07320082932710648,0.829369306564331,,
42,257,,,,,0.07619259506464005,0.8047358989715576
42,257,,,0.07337191700935364,0.8289704918861389,,
43,263,,,,,0.07626190036535263,0.804558277130127
43,263,,,0.07342597842216492,0.8288444876670837,,
44,269,,,,,0.07615428417921066,0.8048340678215027
44,269,,,0.07326280325651169,0.8292248845100403,,
45,275,,,,,0.07609772682189941,0.8049790263175964
45,275,,,0.0732392817735672,0.8292796611785889,,
46,281,,,,,0.07621023803949356,0.8046906590461731
46,281,,,0.07339399307966232,0.8289190530776978,,
47,287,,,,,0.07648423314094543,0.8039884567260742
47,287,,,0.07344241440296173,0.8288061618804932,,
48,293,,,,,0.0763912945985794,0.8042266964912415
48,293,,,0.0734039917588234,0.8288957476615906,,
49,299,,,,,0.07608021050691605,0.8050239086151123
49,299,,,0.07338546961545944,0.8289389610290527,,
50,305,,,,,0.07611759752035141,0.8049280643463135
50,305,,,0.07341372221708298,0.8288730382919312,,
51,311,,,,,0.07595424354076385,0.8053467273712158
51,311,,,0.07321736216545105,0.8293308019638062,,
52,317,,,,,0.0763760507106781,0.8042657375335693
52,317,,,0.0733930841088295,0.8289211988449097,,
53,323,,,,,0.07660975307226181,0.8036668300628662
53,323,,,0.07355410605669022,0.8285458087921143,,
54,329,,,,,0.07659726589918137,0.8036987781524658
54,329,,,0.07329024374485016,0.8291609287261963,,
55,335,,,,,0.07644015550613403,0.8041014671325684
55,335,,,0.07328864932060242,0.8291646242141724,,
56,341,,,,,0.07614269107580185,0.8048638105392456
56,341,,,0.07329727709293365,0.8291444778442383,,
57,342,0.07336126267910004,0.8284453749656677,,,,
